"InstitutionID","InstitutionName","InstitutionNickname","InstitutionAbbreviation","InstitutionCity","InstitutionState","InstitutionPostalCode","InstitutionDMACode","InstitutionDMADescription","InstitutionLatitude","InstitutionLongitude","InstitutionConference","InstitutionEnrollment_Male","InstitutionEnrollment_Female","InstitutionEnrollment_Total","InstitutionNCAAMemberSinceDate","RegularSeasonWins","RegularSeasonLosses","RegularSeasonAverageAttendance","RegularSeasonAverageScore"
"694","Tennessee","Volunteers","TENN","Knoxville","TN","37996","557","KNOXVILLE","35.952080","-83.925850","Southeastern Conference","15269","18536","33805","09/01/1909","24","8","16065.47","79.47"
"514","Oakland","Golden Grizzlies","OAK","Rochester Hills","MI","48309","505","DETROIT","42.674570","-83.216420","Horizon League","4217","6004","10221","09/01/1967","23","11","3925.71","76.41"
"703","Texas","Longhorns","TEXAS","Austin","TX","78705","635","AUSTIN","30.282830","-97.738270","Big 12 Conference","16167","22277","38444","09/01/1907","20","12","11747.00","76.53"
"529","Oregon","Ducks","ORE","Eugene","OR","97403","801","EUGENE","44.045150","-123.075800","Pac-12 Conference","8043","10159","18202","09/01/1929","23","11","7503.94","75.32"
"625","Samford","Bulldogs","SAM","Birmingham","AL","35229","630","BIRMINGHAM (ANN & TUSC)","33.464130","-86.791800","Southern Conference","1240","2514","3754","09/01/1971","29","5","2866.59","85.97"
"37","Auburn","Tigers","AUB","Auburn","AL","36849","522","COLUMBUS, GA","32.599380","-85.488260","Southeastern Conference","12695","12684","25379","09/01/1910","27","7","10182.91","83.32"
"466","Nevada","Wolf Pack","NEV","Reno","NV","89557","811","RENO","39.543640","-119.815400","Mountain West Conference","6459","7288","13747","09/01/1953","26","7","7792.48","76.42"
"193","Duke","Blue Devils","DUKE","Durham","NC","27708","560","RALEIGH - DURHAM (FAYETVLLE)","36.001140","-78.937620","Atlantic Coast Conference","3137","3448","6585","09/01/1925","24","8","11475.81","79.84"
"748","Wagner","Seahawks","WAGNR","Staten Island","NY","10301","501","NEW YORK","40.615590","-74.092910","Northeast Conference","604","971","1575","09/01/1950","16","15","1612.29","63.55"
"260","Gonzaga","Bulldogs","GONZ","Spokane","WA","99258","881","SPOKANE","47.666530","-117.400600","West Coast Conference","2286","2670","4956","09/01/1938","25","7","6368.78","84.88"
"99","Long Beach St.","Beach","BEACH","Long Beach","CA","90840-0118","803","LOS ANGELES","33.782820","-118.112000","Big West Conference","11202","16319","27521","09/01/1955","21","14","2698.00","77.74"
"697","Texas A&M","Aggies","TAMU","College Station","TX","77843","625","WACO - TEMPLE - BRYAN","30.618730","-96.336470","Southeastern Conference","25456","22852","48308","09/01/1917","20","14","10347.35","74.79"
"813","Yale","Bulldogs","YALE","New Haven","CT","06520","533","HARTFORD & NEW HAVEN","41.311160","-72.926690","The Ivy League","3160","3315","6475","09/01/1915","22","9","2443.90","75.16"
"29","Arizona","Wildcats","ZONA","Tucson","AZ","85721","789","TUCSON (SIERRA VISTA)","32.232670","-110.950800","Pac-12 Conference","13090","17292","30382","09/01/1936","25","8","12118.18","87.94"
"509","Northwestern","Wildcats","NW","Evanston","IL","60208","602","CHICAGO","42.050360","-87.679860","Big Ten Conference","3978","4610","8588","09/01/1908","21","11","8325.31","73.69"
"678","Stetson","Hatters","STET","DeLand","FL","32723","534","ORLANDO - DAYTONA BCH - MELBRN","29.035470","-81.300740","Atlantic Sun Conference","1056","1414","2470","09/01/1952","22","12","1751.44","77.50"
"189","Drake","Bulldogs","DRAKE","Des Moines","IA","50311-4505","679","DES MOINES - AMES","41.601290","-93.652160","Missouri Valley Conference","1125","1686","2811","09/01/1912","28","6","3894.97","80.47"
"440","Montana St.","Bobcats","MON ST","Bozeman","MT","59717","754","BUTTE - BOZEMAN","45.666730","-111.048800","Big Sky Conference","7737","6798","14535","09/01/1937","17","17","2631.79","75.12"
"444","Morehead St.","Eagles","MREHD","Morehead","KY","40351","541","LEXINGTON","38.186770","-83.434020","Ohio Valley Conference","1622","2360","3982","09/01/1952","26","8","2894.21","75.47"
"610","Saint Mary's","Gaels","STMARY","Moraga","CA","94575","807","SAN FRANCISCO - OAK - SAN JOSE","37.840730","-122.109000","West Coast Conference","859","1090","1949","09/01/1961","26","7","3458.15","74.24"
"754","Washington St.","Cougars","WAZZU","Pullman","WA","99164","881","SPOKANE","46.730450","-117.158200","Pac-12 Conference","9371","10364","19735","09/01/1926","24","9","5573.27","74.30"
"290","Howard","Bison","HOW","Washington","DC","20059","511","WASHINGTON, DC (HAGRSTWN)","38.922390","-77.018970","Mid-Eastern Athletic Conf.","2213","5977","8190","09/01/1924","18","16","2858.88","75.15"
"363","Longwood","Lancers","LWOOD","Farmville","VA","23909-1899","556","RICHMOND - PETERSBURG","37.301140","-78.395750","Big South Conference","961","2193","3154","09/01/1978","21","13","2322.71","75.56"
"66","Boise St.","Broncos","BOISE","Boise","ID","83725-1020","757","BOISE","43.604280","-116.203300","Mountain West Conference","11068","15065","26133","09/01/1969","22","10","8318.72","75.81"
"169","Creighton","Bluejays","CREIGH","Omaha","NE","68178-0001","652","OMAHA","41.265360","-95.947810","Big East Conference","1789","2501","4290","09/01/1923","23","9","13651.44","80.53"
"772","Western Ky.","Hilltoppers","WKU","Bowling Green","KY","42101-3576","736","BOWLING GREEN","36.985030","-86.456830","Conference USA","4660","7489","12149","09/01/1939","22","11","3739.30","80.58"
"457","North Carolina","Tar Heels","UNC","Chapel Hill","NC","27514","560","RALEIGH - DURHAM (FAYETVLLE)","35.911770","-79.050970","Atlantic Coast Conference","8068","12174","20242","09/01/1906","27","7","15767.47","81.47"
"731","Utah St.","Aggies","UT ST","Logan","UT","84322","770","SALT LAKE CITY","41.740750","-111.813900","Mountain West Conference","7236","8552","15788","09/01/1938","27","6","7027.67","79.79"
"416","Michigan St.","Spartans","MSU","East Lansing","MI","48824","551","LANSING","42.732120","-84.476110","Big Ten Conference","18557","19905","38462","09/01/1919","19","14","14005.79","73.12"
"194","Duquesne","Dukes","DUQ","Pittsburgh","PA","15282","508","PITTSBURGH","40.435890","-79.993130","Atlantic 10 Conference","1830","3186","5016","09/01/1929","24","11","4050.57","70.77"
"229","FAU","Owls","FAU","Boca Raton","FL","33431-0991","548","WEST PALM BEACH - FT. PIERCE","26.372420","-80.102980","American Athletic Conference","6537","9078","15615","09/01/1982","25","8","4577.94","82.55"
