InstitutionName,InstitutionNickname,InstitutionAbbreviation,InstitutionCity,InstitutionState,InstitutionPostalCode,InstitutionDMACode,InstitutionDMADescription,InstitutionLatitude,InstitutionLongitude,InstitutionConference,InstitutionEnrollment_Male,InstitutionEnrollment_Female,InstitutionEnrollment_Total,InstitutionNCAAMemberSinceDate,RegularSeasonWins,RegularSeasonLosses,RegularSeasonAverageAttendance,RegularSeasonAverageScore,Rk,Seed_Rank,NetRtg,Luck,win_%
BYU,Cougars,BYU,Provo,UT,84602,770,SALT LAKE CITY,40.25085,-111.6493,Big 12 Conference,13555,14698,28253,09/01/1939,23,10,13481.27,81.85,18,6,19.96,-0.048,0.696969696969697
New Mexico,Lobos,UNM,Albuquerque,NM,87106,790,ALBUQUERQUE - SANTA FE,35.08387,-106.6202,Mountain West Conference,5034,6877,11911,09/01/1939,26,9,9328.37,81.71,29,11,17.8,-0.013,0.7428571428571429
Charleston,Cougars,COFC,Charleston,SC,29424,519,"CHARLESTON, SC",32.78423,-79.9398,Coastal Athletic Association,2941,6207,9148,09/01/1991,27,7,3370.71,80.47,101,13,7.52,0.047,0.7941176470588235
Colorado St.,Rams,CSU,Fort Collins,CO,80523,751,DENVER,40.57481,-105.0807,Mountain West Conference,10952,12842,23794,09/01/1929,24,10,7319.12,76.35,36,10,17.02,-0.026,0.7058823529411765
Grand Canyon,Lopes,GCU,Phoenix,AZ,85017,753,PHOENIX (PRESCOTT),33.51323,-112.1299,Western Athletic Conference,9794,14823,24617,09/01/1990,29,4,4880.73,79.79,52,12,14.84,0.023,0.8787878787878788
Colgate,Raiders,GATE,Hamilton,NY,13346-1304,555,SYRACUSE,42.81947,-75.53635,Patriot League,1383,1729,3112,09/01/1906,25,9,2482.44,71.5,150,14,1.5,0.068,0.7352941176470589
Tennessee,Volunteers,TENN,Knoxville,TN,37996,557,KNOXVILLE,35.95208,-83.92585,Southeastern Conference,15269,18536,33805,09/01/1909,24,8,16065.47,79.47,5,2,26.61,-0.026,0.75
Oakland,Golden Grizzlies,OAK,Rochester Hills,MI,48309,505,DETROIT,42.67457,-83.21642,Horizon League,4217,6004,10221,09/01/1967,23,11,3925.71,76.41,131,14,3.73,0.077,0.6764705882352942
Texas,Longhorns,TEXAS,Austin,TX,78705,635,AUSTIN,30.28283,-97.73827,Big 12 Conference,16167,22277,38444,09/01/1907,20,12,11747.0,76.53,25,7,18.77,-0.042,0.625
Oregon,Ducks,ORE,Eugene,OR,97403,801,EUGENE,44.04515,-123.0758,Pac-12 Conference,8043,10159,18202,09/01/1929,23,11,7503.94,75.32,55,11,14.19,0.045,0.6764705882352942
Samford,Bulldogs,SAM,Birmingham,AL,35229,630,BIRMINGHAM (ANN & TUSC),33.46413,-86.7918,Southern Conference,1240,2514,3754,09/01/1971,29,5,2866.59,85.97,81,13,10.03,0.11,0.8529411764705882
Auburn,Tigers,AUB,Auburn,AL,36849,522,"COLUMBUS, GA",32.59938,-85.48826,Southeastern Conference,12695,12684,25379,09/01/1910,27,7,10182.91,83.32,4,4,27.99,-0.08,0.7941176470588235
Nevada,Wolf Pack,NEV,Reno,NV,89557,811,RENO,39.54364,-119.8154,Mountain West Conference,6459,7288,13747,09/01/1953,26,7,7792.48,76.42,40,10,16.41,0.043,0.7878787878787878
Duke,Blue Devils,DUKE,Durham,NC,27708,560,RALEIGH - DURHAM (FAYETVLLE),36.00114,-78.93762,Atlantic Coast Conference,3137,3448,6585,09/01/1925,24,8,11475.81,79.84,7,4,26.47,-0.064,0.75
Wagner,Seahawks,WAGNR,Staten Island,NY,10301,501,NEW YORK,40.61559,-74.09291,Northeast Conference,604,971,1575,09/01/1950,16,15,1612.29,63.55,292,16,-10.0,0.043,0.5161290322580645
Gonzaga,Bulldogs,GONZ,Spokane,WA,99258,881,SPOKANE,47.66653,-117.4006,West Coast Conference,2286,2670,4956,09/01/1938,25,7,6368.78,84.88,12,5,23.17,-0.051,0.78125
Long Beach St.,Beach,BEACH,Long Beach,CA,90840-0118,803,LOS ANGELES,33.78282,-118.112,Big West Conference,11202,16319,27521,09/01/1955,21,14,2698.0,77.74,165,15,-0.25,0.053,0.6
Texas A&M,Aggies,TAMU,College Station,TX,77843,625,WACO - TEMPLE - BRYAN,30.61873,-96.33647,Southeastern Conference,25456,22852,48308,09/01/1917,20,14,10347.35,74.79,35,9,17.02,-0.033,0.5882352941176471
Yale,Bulldogs,YALE,New Haven,CT,06520,533,HARTFORD & NEW HAVEN,41.31116,-72.92669,The Ivy League,3160,3315,6475,09/01/1915,22,9,2443.9,75.16,90,13,9.07,0.04,0.7096774193548387
Arizona,Wildcats,ZONA,Tucson,AZ,85721,789,TUCSON (SIERRA VISTA),32.23267,-110.9508,Pac-12 Conference,13090,17292,30382,09/01/1936,25,8,12118.18,87.94,6,2,26.55,-0.047,0.7575757575757576
Northwestern,Wildcats,NW,Evanston,IL,60208,602,CHICAGO,42.05036,-87.67986,Big Ten Conference,3978,4610,8588,09/01/1908,21,11,8325.31,73.69,41,9,16.41,0.015,0.65625
Stetson,Hatters,STET,DeLand,FL,32723,534,ORLANDO - DAYTONA BCH - MELBRN,29.03547,-81.30074,Atlantic Sun Conference,1056,1414,2470,09/01/1952,22,12,1751.44,77.5,220,16,-4.51,0.145,0.6470588235294118
Drake,Bulldogs,DRAKE,Des Moines,IA,50311-4505,679,DES MOINES - AMES,41.60129,-93.65216,Missouri Valley Conference,1125,1686,2811,09/01/1912,28,6,3894.97,80.47,53,10,14.53,0.051,0.8235294117647058
Montana St.,Bobcats,MON ST,Bozeman,MT,59717,754,BUTTE - BOZEMAN,45.66673,-111.0488,Big Sky Conference,7737,6798,14535,09/01/1937,17,17,2631.79,75.12,223,16,-4.65,-0.009,0.5
Morehead St.,Eagles,MREHD,Morehead,KY,40351,541,LEXINGTON,38.18677,-83.43402,Ohio Valley Conference,1622,2360,3982,09/01/1952,26,8,2894.21,75.47,116,14,5.15,0.043,0.7647058823529411
Saint Mary's,Gaels,STMARY,Moraga,CA,94575,807,SAN FRANCISCO - OAK - SAN JOSE,37.84073,-122.109,West Coast Conference,859,1090,1949,09/01/1961,26,7,3458.15,74.24,20,5,19.43,0.008,0.7878787878787878
Washington St.,Cougars,WAZZU,Pullman,WA,99164,881,SPOKANE,46.73045,-117.1582,Pac-12 Conference,9371,10364,19735,09/01/1926,24,9,5573.27,74.3,42,7,16.33,0.024,0.7272727272727273
Howard,Bison,HOW,Washington,DC,20059,511,"WASHINGTON, DC (HAGRSTWN)",38.92239,-77.01897,Mid-Eastern Athletic Conf.,2213,5977,8190,09/01/1924,18,16,2858.88,75.15,275,16,-8.38,0.011,0.5294117647058824
Longwood,Lancers,LWOOD,Farmville,VA,23909-1899,556,RICHMOND - PETERSBURG,37.30114,-78.39575,Big South Conference,961,2193,3154,09/01/1978,21,13,2322.71,75.56,161,16,0.35,-0.005,0.6176470588235294
Boise St.,Broncos,BOISE,Boise,ID,83725-1020,757,BOISE,43.60428,-116.2033,Mountain West Conference,11068,15065,26133,09/01/1969,22,10,8318.72,75.81,44,10,15.97,-0.002,0.6875
Creighton,Bluejays,CREIGH,Omaha,NE,68178-0001,652,OMAHA,41.26536,-95.94781,Big East Conference,1789,2501,4290,09/01/1923,23,9,13651.44,80.53,11,3,24.22,-0.018,0.71875
Western Ky.,Hilltoppers,WKU,Bowling Green,KY,42101-3576,736,BOWLING GREEN,36.98503,-86.45683,Conference USA,4660,7489,12149,09/01/1939,22,11,3739.3,80.58,135,15,2.9,-0.036,0.6666666666666666
North Carolina,Tar Heels,UNC,Chapel Hill,NC,27514,560,RALEIGH - DURHAM (FAYETVLLE),35.91177,-79.05097,Atlantic Coast Conference,8068,12174,20242,09/01/1906,27,7,15767.47,81.47,9,1,26.19,-0.038,0.7941176470588235
Utah St.,Aggies,UT ST,Logan,UT,84322,770,SALT LAKE CITY,41.74075,-111.8139,Mountain West Conference,7236,8552,15788,09/01/1938,27,6,7027.67,79.79,51,8,14.89,0.128,0.8181818181818182
Michigan St.,Spartans,MSU,East Lansing,MI,48824,551,LANSING,42.73212,-84.47611,Big Ten Conference,18557,19905,38462,09/01/1919,19,14,14005.79,73.12,16,9,20.58,-0.1,0.5757575757575758
Duquesne,Dukes,DUQ,Pittsburgh,PA,15282,508,PITTSBURGH,40.43589,-79.99313,Atlantic 10 Conference,1830,3186,5016,09/01/1929,24,11,4050.57,70.77,88,11,9.19,0.079,0.6857142857142857
FAU,Owls,FAU,Boca Raton,FL,33431-0991,548,WEST PALM BEACH - FT. PIERCE,26.37242,-80.10298,American Athletic Conference,6537,9078,15615,09/01/1982,25,8,4577.94,82.55,47,8,15.74,-0.015,0.7575757575757576
